Artikel plieger,Omschrijving,min,max,aantal
2100487,Wavin PVC lijm verloopring excentrisch 110x50mm 3104211050,8,16,30
2100495,Wavin PVC lijm verloopring excentrisch 110x75mm 3104211070,8,16,22
2100509,Wavin PVC lijm verloopring excentrisch 125x110mm 3104212110,5,10,19
2101327,Wavin PVC lijm T-stuk 88° 2xmof+1xspie 110x110mm 3102511009,1,2,2
2100894,Wavin PVC lijm T-stuk 88° 3xmof 110x110mm 3102611009,2,4,4
2110067,Wavin PVC manchet bocht 45° mof/mof 110mm SN8 1111211004,1,3,2
2110105,Wavin PVC manchet bocht 45° mof/spie 110mm SN8 1111111004,1,3,3
2110059,Wavin PVC manchet bocht 30° mof/mof 110mm SN8 1111211003,1,3,3
2100051,Wavin PVC manchet bocht 30° mof/spie 110mm SN8 1111111003,1,3,3
2110016,Wavin PVC manchet bocht 15° mof/mof 110mm SN8 1111211001,1,3,2
2110048,Wavin PVC manchet bocht 15° mof/spie 110mm SN8 1111111001,1,3,4
2110121,Wavin PVC manchet bocht 90° mof/mof 110mm SN8 1111211009,2,4,4
2110172,Wavin PVC manchet bocht 90° mof/spie 110mm SN8 1111111009,2,4,4
2101432,Wavin PE speciedeksel 110mm 3105411000,8,16,16
2101718,Wavin PVC kap spie-eind GR110xDRAIN125 3105111000,5,10,11
2101033,Wavin PVC lijm dubbele mof 110mm 3100011000,12,24,23
2100274,Wavin PVC lijm bocht 45° mof/mof 110mm 3101211004,12,24,20
2100363,Wavin PVC lijm bocht 90° mof/mof 110mm 3101211009,8,16,14
2100304,Wavin PVC lijm bocht 45° mof/spie 110mm 3101111004,12,24,17
2100401,Wavin PVC lijm bocht 90° mof/spie 110mm 3101111009,8,16,9
2100673,Wavin PVC lijm T-stuk 45° 3xmof 110x75mm 3102211074,4,8,5
2100681,Wavin PVC lijm T-stuk 45° 3xmof 110x110mm 3102211004,4,8,6
2100665,Wavin PVC lijm T-stuk 45° 3xmof 110x50mm 3102211054,4,8,6
2101025,Wavin PVC lijm dubbele mof 75mm 3100007000,15,30,25
2100266,Wavin PVC lijm bocht 45° mof/mof 75mm 3101207004,16,32,20
2100355,Wavin PVC lijm bocht 90° mof/mof 75mm 3101207009,12,24,21
2100649,Wavin PVC lijm T-stuk 45° 3xmof 75x75mm 3102207004,7,14,16
2101831,Wavin PVC lijm bocht 45° mof/spie 75mm 3101107004,16,32,29
2101890,Wavin PVC lijm bocht 90° mof/spie 75mm 3101107009,12,24,36
2100630,Wavin PVC lijm T-stuk 45° 3xmof 75x50mm 3102207054,9,18,19
2100622,Wavin PVC lijm T-stuk 45° 3xmof 75x40mm 3102207044,4,8,4
2100843,Wavin PVC lijm T-stuk 88° 3xmof 75x75mm 3102207009,4,8,5
2101552,Wavin PVC overschuifmof 75mm 3100107000,6,12,7
702054,Airfit PP riolerings overgangsstuk 110x75mm 11075IR,2,6,2
702049,Airfit PP riolerings overgangsstuk 75x50mm 7550IR,2,6,2
2101149,Wavin PVC lijm einddop m. schroefdeksel in hulpstuk 110mm 3105111001,3,6,4
2101696,Wavin PVC kap spie-eind GR75 3105107000,15,30,38
2101424,Wavin PE speciedeksel 75mm 3105407000,8,16,2
"3017453,Bonfix Knelfitting messing knel muurplaat messing bi.dr. 12mmx1/2""bi kiwa 52569,4,10,10"
"3010702,Bonfix Knelfitting messing knel knie messing bi.dr. 1/2""bix15mm conisch - gastec / kiwa 82591,4,10,10"
"1500678,BPE beluchterkraan verchroomd z. wartel 1/2""bu m. knop zwart, kiwa 70550,5,10,2"
8910472,Bonfix Knelfitting messing knelkoppeling messing 12x12mm gastec / kiwa 82537,4,10,11
8910448,Bonfix Knelfitting messing knel knie messing 12x12mm gastec / kiwa 82526,4,10,12
8910421,Bonfix Knelfitting messing knel T-stuk messing 12x12x12mm gastec / kiwa 82452,4,10,13
"3010700,Bonfix Knelfitting messing knel knie messing bi.dr. 3/8""bix15mm conisch - gastec / kiwa 82605,4,10,14"
8910642,Bonfix Knelfitting messing knel verloopset messing 15x12mm 82715,4,10,10
3010642,Bonfix Knelfitting messing knel eindstop messing 12mm gastec / kiwa 82494,4,10,9
3010584,Bonfix Knelfitting messing knelkoppeling messing verlopend 15x12mm gastec / kiwa 82472,4,10,9
3010566,Bonfix Knelfitting messing knelkoppeling messing 15x15mm gastec / kiwa 82530,4,10,11
8910065,Bonfix Knelfitting messing knel knie messing 15x15mm gastec / kiwa 82520,4,10,2
8910006,Bonfix Knelfitting messing knel T-stuk messing 15x15x15mm gastec / kiwa 82501,4,10,5
"3010684,Bonfix Knelfitting messing knel knie messing bu.dr. 1/2""bux15mm conisch - gastec / kiwa 82700,4,10,8"
3010644,Bonfix Knelfitting messing knel eindstop messing 15mm gastec / kiwa 82495,4,10,2
"8910502,Bonfix Knelfitting messing knel T-stuk verlopend messing bi.dr. 15x1/2""bix15mm conisch - gastec / kiwa 82646,4,10,8"
3010568,Bonfix Knelfitting messing knelkoppeling messing 22x22mm gastec / kiwa 82531,4,10,6
3010656,Bonfix Knelfitting messing knel knie messing 22x22mm gastec / kiwa 82521,4,10,8
8910014,Bonfix Knelfitting messing knel T-stuk messing 22x22x22mm gastec / kiwa 82502,4,10,7
"3010606,Bonfix Knelfitting messing knel puntstuk messing 3/4""x22mm conisch - gastec / kiwa 82743,4,10,4"
"3010688,Bonfix Knelfitting messing knel knie messing bu.dr. 3/4""bux22mm conisch - gastec / kiwa 82702,4,10,5"
3010756,Bonfix Knelfitting messing knel T-stuk verlopend messing 22x15x22mm gastec / kiwa 82505,4,10,5
"8910545,Bonfix Knelfitting messing knel T-stuk verlopend messing bi.dr. 22x1/2""bix22mm conisch - gastec / kiwa 82640,4,10,5"
3010646,Bonfix Knelfitting messing knel eindstop messing 22mm gastec / kiwa 82496,4,10,8
8910405,Bonfix Knelfitting messing knel wartelmoer messing 15mm gastec / kiwa 83700,4,10,31
3010912,Bonfix Knelfitting messing knelring messing 15mm gastec / kiwa 84070,4,10,23
3010894,Bonfix Knelfitting messing knel wartelmoer messing 22mm gastec / kiwa 83701,4,10,17
3010914,Bonfix Knelfitting messing knelring messing 22mm gastec / kiwa 84071,4,10,35
"3010602,Bonfix Knelfitting messing knel puntstuk messing 1/2""x22mm conisch - gastec / kiwa 82529,4,10,2"
8910030,Bonfix Knelfitting messing knel T-stuk verlopend messing 22x22x15mm gastec / kiwa 82507,4,10,7
3010752,Bonfix Knelfitting messing knel T-stuk verlopend messing 22x15x15mm gastec / kiwa 82506,4,10,6
3010588,Bonfix Knelfitting messing knelkoppeling messing verlopend 22x20mm 82579,4,10,5
3010572,Bonfix Knelfitting messing knelkoppeling messing 28x28mm gastec / kiwa 82532,4,10,5
3010658,Bonfix Knelfitting messing knel knie messing 28x28mm gastec / kiwa 82522,4,10,6
8910170,Bonfix Knelfitting messing knel T-stuk messing 28x28x28mm gastec / kiwa 82503,4,10,5
8910189,Bonfix Knelfitting messing knel T-stuk verlopend messing 28x15x28mm gastec / kiwa 82508,4,10,4
8910731,Bonfix Knelfitting messing knel eindstop messing 28mm gastec / kiwa 82497,4,10,1
8911126,Bonfix Knelfitting messing knelkoppeling messing verlopend 28x22mm gastec / kiwa 82536,4,10,6
2100991,Wavin PVC lijm dubbele mof 32mm 3100003000,20,40,35
2101009,Wavin PVC lijm dubbele mof 40mm 3100004000,40,80,80
2101017,Wavin PVC lijm dubbele mof 50mm 3100005000,20,40,37
2100320,Wavin PVC lijm bocht 90° mof/mof 32mm 3101203009,15,30,29
2100339,Wavin PVC lijm bocht 90° mof/mof 40mm 3101204009,15,30,57
2100347,Wavin PVC lijm bocht 90° mof/mof 50mm 3101205009,15,30,18
2101866,Wavin PVC lijm bocht 90° mof/spie 32mm 3101103009,15,30,37
2101874,Wavin PVC lijm bocht 90° mof/spie 40mm 3101104009,15,30,41
2101882,Wavin PVC lijm bocht 90° mof/spie 50mm 3101105009,10,20,18
2100223,Wavin PVC lijm bocht 45° mof/mof 32mm 3101203004,20,40,45
2100231,Wavin PVC lijm bocht 45° mof/mof 40mm 3101204004,30,60,59
2100258,Wavin PVC lijm bocht 45° mof/mof 50mm 3101205004,20,40,63
2101610,Wavin PVC lijm bocht 45° mof/spie 32mm 3101103004,30,60,60
2101815,Wavin PVC lijm bocht 45° mof/spie 40mm 3101104004,30,60,77
2101823,Wavin PVC lijm bocht 45° mof/spie 50mm 3101105004,25,50,42
2100584,Wavin PVC lijm T-stuk 45° 3xmof 32x32mm 3102203004,20,40,31
2100592,Wavin PVC lijm T-stuk 45° 3xmof 40x40mm 3102204004,20,40,33
2100614,Wavin PVC lijm T-stuk 45° 3xmof 50x50mm 3102205004,7,14,13
2100789,Wavin PVC lijm T-stuk 88° 3xmof 32x32mm 3102203009,15,30,18
2100797,Wavin PVC lijm T-stuk 88° 3xmof 40x40mm 3102204009,10,20,9
2100819,Wavin PVC lijm T-stuk 88° 3xmof 50x50mm 3102205009,10,20,20
2113401,Dyka sifon PVC universeel 32mm grijs 20024168,4,12,8
2113403,Dyka sifon PVC universeel 40mm grijs 20024170,4,12,5
2113405,Dyka sifon PVC universeel 50mm grijs 20024172,2,6,7
2100479,Wavin PVC lijm verloopring excentrisch 75x50mm 3104207050,15,30,33
2100436,Wavin PVC lijm verloopring excentrisch 32x40mm 3104204030,30,60,55
2100452,Wavin PVC lijm verloopring excentrisch 50x40mm 3104205040,20,40,40
2101335,Wavin PVC overschuifmof 32mm 3100103000,10,20,13
2101653,Wavin PVC kap spie-eind GR32 3105103000,10,20,15
2101394,Wavin PE speciedeksel 32mm 3105403000,10,20,15
2101343,Wavin PVC overschuifmof 40mm 3100104000,5,10,8
2101661,Wavin PVC kap spie-eind GR40xDRAIN50 3105104000,15,30,22
2101408,Wavin PE speciedeksel 40mm 3105404000,15,30,27
2101351,Wavin PVC overschuifmof 50mm 3100105000,5,10,5
2101688,Wavin PVC kap spie-eind GR50xDRAIN60 3105105000,10,20,15
2101416,Wavin PE speciedeksel 50mm 3105405000,15,30,29
2100606,Wavin PVC lijm T-stuk 45° 3xmof 50x40mm 3102205044,5,10,8
710295,Geberit sprongbocht (buisdikte 72mm) 90/110mm verstelbaar 14.5cm-34.5cm 388350291,2,4,2
8842726,Walraven BIS UltraProtect 1000 funderingshaak BUP 200x700mm 4708011,10,25,34
1741063,Walraven BIS PVC beugel B zonder pen 40mm grijs 1300040,5,15,5
8842724,Walraven BIS UltraProtect 1000 funderingshaak BUP 200x350mm 4708001,10,25,17
1741071,Walraven BIS PVC beugel B zonder pen 50mm grijs 1300050,5,15,18
1741128,Walraven BIS PVC beugel B zonder pen 75mm grijs 1300075,5,15,4
1710311,Walraven BIS zadel grijs type 180 32mm PVC 1800032,15,50,22
8842702,Walraven BIS UltraProtect 1000 funderingsbeugel BUP 75mm 4708024,10,20,34
1741136,Walraven BIS PVC beugel B zonder pen HWA 80mm grijs 1300080,5,15,12
1710338,Walraven BIS zadel grijs type 180 40mm PVC 1800040,15,50,46
8842706,Walraven BIS UltraProtect 1000 funderingsbeugel BUP 125mm 4708006,10,20,32
1740091,Walraven BIS PVC beugel B zonder pen HWA 80mm wit 1301080,5,15,2
1710346,Walraven BIS zadel grijs type 180 50mm PVC 1800050,15,50,38
8842722,Walraven BIS UltraProtect 1000 klemschuif BUP m. schroef nr. 3 4708003,20,50,65
711922,Wisa flexifon flexibele rioolafvoerbocht 90/110mm v. alle inbouwsystemen 8050390086,0,0,2
1741144,Walraven BIS PVC beugel B zonder pen HWA 100mm grijs 1300100,5,15,4
1741160,Walraven BIS PVC beugel B zonder pen 125mm grijs 1300125,5,15,6
8842700,Walraven BIS UltraProtect 1000 funderingsbeugel BUP 50mm 4708030,10,20,53
"770062,Sanitools saniplug universele bouwstop 3/8-1/2-3/4"" rood 340708001,10,40,23"
"770063,Sanitools saniplug universele bouwstop 3/8-1/2-3/4"" blauw 340709001,10,40,26"
7490708,Conel CLIC montagebeugel 48-51mm M8 GC3433051,5,10,9
7490712,Conel CLIC montagebeugel 74-80mm M8/M10 GC3433080,5,10,4
7490716,Conel CLIC montagebeugel 108-113mm M8/M10 GC3433114,5,10,5
7490733,Conel CLIC montagebeugel TOP 124-130mm M8/M10 GC3263130,5,10,4
"8405864,Rehau Rautitan overgangskoppeling m. buitendraad 25mmxR1"" LX+G 13129981001,5,15,8"
"8403860,Rehau Rautitan set verloopnippels euroconus G1/2""xG3/4"" set=2 stuks 12407111001,5,15,8"
"8405630,Rehau Rautitan knelkoppeling knie 25RpxW1 1/8""x22mm LX 11681751001,5,15,2"
8404953,Rehau Rautherm rechte koppeling 17x2.0mm 12502771002,5,15,13
7490705,Conel CLIC montagebeugel 32-35mm M8 GC3433035,10,30,3
7490704,Conel CLIC montagebeugel 28-30mm M8 GC3433030,10,30,28
7490702,Conel CLIC montagebeugel 19-22mm M8 GC3433022,10,30,9
7490700,Conel CLIC montagebeugel 12-15mm M8 GC3433015,10,30,11
8404949,Rehau Rautherm schuifhuls 17x2.0mm 12502971002,10,20,24
1710265,Walraven BIS StarQuick® beugel grijs 24-28mm 0854028,30,100,116
1710281,Walraven BIS StarQuick® beugel grijs 20-23mm 0854022,30,100,125
1710279,Walraven BIS StarQuick® beugel grijs 15-16mm 0854015,30,100,93
1710277,Walraven BIS StarQuick® beugel grijs 12-14mm 0854012,30,100,334
7541887,Viega Prestabo T-stuk SC verzinkt verlopend 28x15x28mm 558710,5,15,10
"7541749,Viega Profipress-G muurplaat SC brons pers x bi.dr. 15mmx1/2"" 346683,5,10,2"
7541485,Viega Profipress verloopsok SC koper spie x pers 35x28mm 296490,2,8,3
8405893,Rehau Rautitan knelovergang 16x15mm LX+G 13140991001,5,15,2
1800671,Griffon siliconenkit sanitair S200 koker à 300ml voor acryl transparant 1249351,2,6,5
1800698,Griffon siliconenkit sanitair S200 koker à 300ml voor acryl wit 1249326,2,6,1
1800708,Griffon siliconenkit sanitair S200 koker à 300ml voor acryl trijs 6307723,2,6,18
1800703,Griffon siliconenkit sanitair S200 koker à 300ml voor acryl zilvergrijs 1249354,2,6,6
1800174,Griffon poly max high tack express 435g koker wit 6303764,2,6,4
1800164,Shell Tixophalte bitumenkit koker à 310ml 30044190,2,6,5
2100088,Wavin PVC buis dikwandig 4 meter 75x69mm lengte=4m, prijs=per meter grijs 1010007004,5,10,32
2100134,Wavin PVC buis dikwandig 4 meter 125x118.6mm lengte=4m, prijs=per meter grijs 1010012004,1,1,12
2100118,Wavin PVC buis dikwandig 4 meter 110x103.6mm lengte=4m, prijs=per meter grijs 1010011004,1,1,25
2130068,Wavin HWA buis 4 meter 100mm lengte=4m, prijs=per meter grijs 4000010004,1,1,4
2130041,Wavin HWA buis 4 meter 80mm lengte=4m, prijs=per meter grijs 4000008004,1,1,4
2101467,Wavin PVC buis dikwandig 4 meter 160x151.2mm lengte=4m, prijs=per meter grijs 1010016004,1,2,4
2100053,Wavin PVC buis dikwandig 4 meter 50x44mm lengte=4m, prijs=per meter grijs 1010005004,4,8,29
2100037,Wavin PVC buis dikwandig 4 meter 40x34mm lengte=4m, prijs=per meter grijs 1010004004,5,10,54
2100010,Wavin PVC buis dikwandig 4 meter 32x26mm lengte=4m, prijs=per meter grijs 1010003004,5,10,46
2440067,KME Sanco roodkoperen buis sanco 5 meter 42mm lengte=5m, prijs=per meter 7135418,0,0,1
2440059,KME Sanco roodkoperen buis sanco 5 meter 35mm lengte=5m, prijs=per meter 7135417,0,0,0,4
2440040,KME Sanco roodkoperen buis sanco 5 meter 28mm lengte=5m, prijs=per meter 7011388,0,0,10,4
2440032,KME Sanco roodkoperen buis sanco 5 meter 22mm lengte=5m, prijs=per meter 7011387,0,0,18
2440024,KME Sanco roodkoperen buis sanco 5 meter 15mm lengte=5m, prijs=per meter 7011412,0,0,9,96
2440016,KME Sanco roodkoperen buis sanco 5 meter 12mm lengte=5m, prijs=per meter 7011411,0,0,4
8430152,ZNB CV-buis elektrolytisch verzinkt DIN 2394 35x1.5mm lengte=6m, prijs=per meter CV3515,0,0,10
8430066,ZNB CV-buis elektrolytisch verzinkt DIN 2394 28x1.5mm lengte=3m, prijs=per meter CV28153000,0,0,8
8430064,ZNB CV-buis elektrolytisch verzinkt DIN 2394 22x1.5mm lengte=3m, prijs=per meter CV22153000,0,0,37
8430061,ZNB CV-buis elektrolytisch verzinkt DIN 2394 15x1.5mm lengte=3m, prijs=per meter CV15153000,0,0,47
2440096,KME Sanco roodkoperen buis sanco 2.5 meter 15mm lengte=2.5m, prijs=per lengte 7067280,0,0,10,6
2440095,KME Sanco roodkoperen buis sanco 2.5 meter 12mm lengte=2.5m, prijs=per lengte 7067278,0,0,10
"1402050,""R-VENT SSPB spiralobuis 150mm - 0,4mm lgt=3m, prijs=per lgt SSPB0150040300"",0,0,0"
"1451367,""R-VENT SSPB spiralobuis 125mm - 0,4mm lgt=3m, prijs=per lgt SSPB0125040300"",0,0,14"
1034030,K-Flex PE buisisolatie 15x13mm lengte=2m, prijs=per meter, doos=240m PE13-015,30,240,242
1034003,K-Flex PE buisisolatie 22x13mm lengte=2m, prijs=per meter, doos=168m PE13-022,30,168,138
8402276,Rehau Rautitan cliphalfschaal 32mm lengte=3m, prijs=per meter 11380631001,5,15,9
8402270,Rehau Rautitan cliphalfschaal 25mm lengte=3m, prijs=per meter 11380531001,5,15,16,5
8402264,Rehau Rautitan cliphalfschaal 20mm lengte=3m, prijs=per meter 11380431001,5,15,12
8402258,Rehau Rautitan cliphalfschaal 16/17mm lengte=3m, prijs=per meter 11380331001,5,15,5
7800088,Flamco Flexcon membraandrukexpansievat 18L 1 bar rood 26186,2,10,5
8405368,Rehau Rautitan stabil universele buis op rol 25x3.7mm rol=50m, prijs=per meter 11301411050,0,0,33
8402012,Rehau Rautitan stabil universele buis op rol 20x2.9mm rol=100m, prijs=per meter 11301311100,0,0,32,5
8402000,Rehau Rautitan stabil universele buis op rol 16.2x2.6mm rol=100m, prijs=per meter 11301211100,0,0,250
8402079,Rehau Rautitan stabil universele buis op rol voorgeïsoleerd 25x3.7mm, isol. dikte=9mm rol=25m, prijs=per meter 11314971025,0,0,13
8402066,Rehau Rautitan stabil universele buis op rol voorgeïsoleerd 20x2.9mm, isol. dikte=4mm rol=50m, prijs=per meter 11302711050,0,0,86
8402060,Rehau Rautitan stabil universele buis op rol voorgeïsoleerd 16.2x2.6mm, isol. dikte=4mm rol=50m, prijs=per meter 11302411050,0,0,47
1451383,R-VENT SPLB plooibocht 45 graden rond luchtkanaal t.b.v. Spiralobuis 125mm SPLB125 SPLB12545,4,8,16
1405563,Burgerhout Safe-PP rookgasafvoerbuis Ø80 l=2000mm PP wit 400453979,2,4,2
1451391,R-VENT STCPD T-stuk t.b.v. Spiralobuis 125-125mm STCPD125-125 STCPD125125,4,8,4
1451405,R-VENT SNPD verbindingsstuk rond luchtkanaal t.b.v. Spiralobuis 125mm SNPD125 SNPD0125,4,8,0
1406977,R-VENT SMFD koppelstuk voor hulpstukken t.b.v. Spiralobuis 125mm SMFD125 SMFD0125,4,8,11
1402014,R-VENT SPSD zadelstuk voor rond luchtkanaal t.b.v. Spiralobuis 125-125mm SPSD125-125 SPSD125125,4,8,8
1405562,Burgerhout Safe-PP rookgasafvoerbuis Ø80 l=1000mm PP wit 400453977,4,8,10
1450488,R-VENT SOPOX spiralobuis beugel+rubber M8 150mm SOPOX150 SOPOX0150,5,10,11
1450487,R-VENT SOPOX spiralobuis beugel+rubber M8 125mm SOPOX125 SOPOX0125,5,10,20
1405560,Burgerhout Safe-PP rookgasafvoerbuis Ø80 l=250mm PP wit 400453973,4,10,8
1405561,Burgerhout Safe-PP rookgasafvoerbuis Ø80 l=500mm PP wit 400453975,4,10,10
1400401,Burgerhout Alu-fix rookgasafvoerbuis Ø80mm l=500mm Aluminium dikwandig 400451532,1,2,3
1405564,Burgerhout Safe-PP rookgasafvoerbocht Ø80mm 45° PP wit 400453990,4,12,8
1405565,Burgerhout Safe-PP rookgasafvoerbocht Ø80mm 90° PP wit 400453992,4,12,7
1400525,Burgerhout Alu-fix rookgasafvoerbocht Ø80mm 45° Aluminium dikwandig spuitgiet 400451554,1,2,1
1400371,Burgerhout Alu-fix rookgasafvoerbuis Ø80mm l=250mm Aluminium dikwandig 400451530,1,2,5
8302876,Honeywell draadloze digitale ruimtethermostaat DTS92A1011,1,2,1
"1602445,IMI Heimeier Multilux 4 2-pijps onderblokset m. Halo, recht en haaks R1/2"" - G3/4"" HOH 50mm design-uitvoering wit 969027800,1,3,1"
201197,Viega urinoirsifon horizontaal 492465,1,1,3
"8914653,Bonfix Knelset knelset Heimeier 1/2""x15mm 47205,5,15,9"
